,Start,End;;
0,2017-09-26;15:00:37.707112,2017-09-26;15:00:38.048132
1,2017-09-26;15:00:38.564161,2017-09-26;15:00:38.702169
2,2017-09-26;15:00:38.905181,2017-09-26;15:00:39.091191
3,2017-09-26;15:00:50.977871,2017-09-26;15:00:58.692312
4,2017-09-26;15:00:59.105336,2017-09-26;15:00:59.409353
5,2017-09-26;15:00:59.459356,2017-09-26;15:01:07.554819
6,2017-09-26;15:01:10.750002,2017-09-26;15:01:10.825006
7,2017-09-26;15:01:10.865009,2017-09-26;15:01:11.114023
8,2017-09-26;15:01:11.280032,2017-09-26;15:01:11.328035
9,2017-09-26;15:01:12.337093,2017-09-26;15:01:12.671112
10,2017-09-26;15:01:13.140139,2017-09-26;15:01:14.253202
11,2017-09-26;15:01:15.698285,2017-09-26;15:01:25.146826
12,2017-09-26;15:01:25.391840,2017-09-26;15:01:25.432842
13,2017-09-26;15:01:25.486845,2017-09-26;15:01:31.967216
14,2017-09-26;15:01:32.064221,2017-09-26;15:01:32.190228
